Date,Revenue,COGS,is_holiday,log_Revenue,log_COGS,revenue_lag_1,revenue_lag_2,revenue_lag_3,revenue_lag_7,revenue_lag_14,revenue_lag_30,cogs_lag_1,cogs_lag_7,cogs_lag_30,rev_roll7_mean,rev_roll7_std,rev_roll7_max,rev_roll14_mean,rev_roll30_mean,rev_roll30_std,rev_roll30_max,day_of_week,month,day_of_month,week_of_year,quarter,is_weekend,days_to_tet,pre_tet_7d,pre_tet_14d,on_tet,post_tet,promo_count,promo_active,promo_intensity,post_promo,sessions,sessions_lag7,sessions_lag14,sessions_roll7_mean,sessions_vs_avg,sessions_spike
2012-07-04,5123547.94,3982991.19,0,15.449357909240309,15.197543901328316,,,,,,,,,,,,,,,,,2,7,4,27,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-05,2751773.45,2150580.23,0,14.827756516101005,14.58124870310358,5123547.94,,,,,,3982991.19,,,,,,,,,,3,7,5,27,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-06,3054029.42,2517632.84,0,14.931972725418376,14.738830066014737,2751773.45,5123547.94,,,,,2150580.23,,,,,,,,,,4,7,6,27,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-07,2667930.94,2108246.62,0,14.796814175947144,14.561367648537876,3054029.42,2751773.45,5123547.94,,,,2517632.84,,,,,,,,,,5,7,7,27,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-08,2360851.9,1808622.79,0,14.67453351001824,14.40807677702264,2667930.94,3054029.42,2751773.45,,,,2108246.62,,,,,,,,,,6,7,8,27,3,1,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-09,3548386.46,2787841.68,0,15.082003821635174,14.84077862172383,2360851.9,2667930.94,3054029.42,,,,1808622.79,,,,,,,,,,0,7,9,28,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-10,5234938.62,4044438.84,0,15.47086586831386,15.212853616808562,3548386.46,2360851.9,2667930.94,,,,2787841.68,,,,,,,,,,1,7,10,28,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-11,5582884.78,4338313.07,0,15.53521636554838,15.2829963674716,5234938.62,3548386.46,2360851.9,5123547.94,,,4044438.84,3982991.19,,3534494.104285714,1182417.179498357,5234938.62,,,,,2,7,11,28,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-12,5734632.02,4458811.27,0,15.562034316960265,15.310392981355308,5582884.78,5234938.62,3548386.46,2751773.45,,,4338313.07,2150580.23,,3600113.652857143,1292886.5063433975,5582884.78,,,,,3,7,12,28,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
2012-07-13,5309511.71,4143402.78,0,15.485010620645566,15.23702817708776,5734632.02,5582884.78,5234938.62,3054029.42,,,4458811.27,2517632.84,,4026236.305714286,1448836.1457073893,5734632.02,,,,,4,7,13,28,3,0,30,0,0,0,0,0,0,0,0,,,,,1.0,0
