Date,Revenue,COGS,is_holiday,log_Revenue,log_COGS
2012-07-04,5123547.94,3982991.19,0,15.449357909240307,15.197543901328316
2012-07-05,2751773.45,2150580.23,0,14.827756516101003,14.581248703103581
2012-07-06,3054029.42,2517632.84,0,14.931972725418376,14.738830066014735
2012-07-07,2667930.94,2108246.62,0,14.796814175947144,14.561367648537875
2012-07-08,2360851.9,1808622.79,0,14.67453351001824,14.408076777022641
2012-07-09,3548386.46,2787841.68,0,15.082003821635174,14.84077862172383
2012-07-10,5234938.62,4044438.84,0,15.47086586831386,15.212853616808562
2012-07-11,5582884.78,4338313.07,0,15.535216365548381,15.282996367471599
2012-07-12,5734632.02,4458811.27,0,15.562034316960265,15.310392981355307
2012-07-13,5309511.71,4143402.78,0,15.485010620645566,15.23702817708776
2012-07-14,3820831.41,3075464.87,0,15.15597886522114,14.938966950186444
2012-07-15,3948841.28,3154482.05,0,15.188933000246074,14.964335189502293
2012-07-16,3503801.49,2708219.59,0,15.069359362440608,14.81180236833779
2012-07-17,4476729.49,3463061.65,0,15.314403536617247,15.057663914471275
2012-07-18,5184141.46,4072012.16,0,15.461114997346536,15.219648069034385
2012-07-19,6421487.11,5007270.91,0,15.675160441641227,15.426401795809205
2012-07-20,5171470.46,4213989.64,0,15.458667821076462,15.253920652176268
2012-07-21,3442157.02,2746075.45,0,15.051609164054845,14.82568370541778
2012-07-22,3117550.57,2531656.38,0,14.952558498500553,14.744384737134407
2012-07-23,4730517.69,3685006.66,0,15.36954541407539,15.119783162300836
2012-07-24,4096496.12,3248450.65,0,15.22564280552458,14.993689025399439
2012-07-25,5246688.08,4140019.37,0,15.473107784194976,15.236211266079248
2012-07-26,5851965.06,4579171.74,0,15.582288241378745,15.337028915321659
2012-07-27,5156699.45,3989402.2,0,15.455807485249466,15.199152203743912
2012-07-28,4326956.84,3403662.59,0,15.280375275688327,15.040362935942019
2012-07-29,4804199.65,3819645.91,0,15.385001228587052,15.15566854437349
2012-07-30,6586130.95,5195109.56,0,15.700476776640313,15.463228464290932
2012-07-31,9151622.14,7142891.18,0,16.02944181386927,15.781628319525076
2012-08-01,9148357.3,7308514.33,0,16.029085000388847,15.804550709866923
2012-08-02,9692427.0,7537501.15,0,16.08685552007559,15.835401405258002
2012-08-03,9297269.95,7118808.46,0,16.045231468823154,15.778251058732739
2012-08-04,6384195.03,5087528.11,0,15.669336124093983,15.44230283058394
2012-08-05,2359224.19,1863413.11,0,14.673843813774456,14.43792090614968
2012-08-06,3630003.7,2922718.71,0,15.104744501006035,14.888025148287864
2012-08-07,2240253.44,1781265.84,0,14.622100006666162,14.392835376989497
2012-08-08,2617553.36,1997006.42,0,14.777750989419488,14.50716032796441
2012-08-09,4478691.52,3621672.71,0,15.314841713580904,15.102446827779472
2012-08-10,3412496.65,2699279.56,0,15.042955029830427,14.808495836208722
2012-08-11,2732604.35,2168668.05,0,14.820766052726956,14.589624196332272
2012-08-12,3388181.83,2654275.25,0,15.035804297288633,14.791682576626295
2012-08-13,3928170.01,3189564.96,0,15.183684483659535,14.975395402807735
2012-08-14,4033912.16,3258198.58,0,15.210247470244257,14.996685324708666
2012-08-15,3780293.26,2886923.59,0,15.145312411126731,14.875702337763572
2012-08-16,5249978.18,4222455.97,0,15.473734668845657,15.255927736966814
2012-08-17,4089284.05,3238908.92,0,15.223880708337937,14.990747386713938
2012-08-18,3450015.71,2808916.94,0,15.053889632474073,14.848309892416518
2012-08-19,3904300.93,3006801.4,0,15.177589562151692,14.9163877464759
2012-08-20,3541027.32,2827038.81,0,15.07992772880281,14.85474071864237
2012-08-21,4147483.23,3364364.64,0,15.238012498748972,15.028749986201719
2012-08-22,4597682.81,3562468.33,0,15.34106321508556,15.085964494399178
2012-08-23,5478869.55,4195738.04,0,15.516409533667249,15.24958005399994
