iter	RMSE
0	2628060.13
1	2542167.7
2	2468646.34
3	2391559.992
4	2314709.614
5	2243291.344
6	2180676.274
7	2123354.786
8	2068203.856
9	2015651.059
10	1963626.541
11	1915512.127
12	1869537.299
13	1825507.201
14	1785967.139
15	1746590.05
16	1705333.922
17	1669269.073
18	1637261.904
19	1604021.931
20	1573526.243
21	1543910.282
22	1516913.524
23	1492317.093
24	1468339.071
25	1445848.042
26	1424573.232
27	1403691.718
28	1383314.161
29	1361762.212
30	1342974.776
31	1325312.955
32	1310383.724
33	1294689.65
34	1281623.108
35	1267670.068
36	1254675.26
37	1242758.26
38	1231709.185
39	1221380.454
40	1211047.131
41	1200706.668
42	1191243.776
43	1181774.594
44	1171841.455
45	1163699.792
46	1154966.977
47	1147941.973
48	1140578.282
49	1132979.235
50	1125185.228
51	1117299.611
52	1110408.748
53	1103345.28
54	1097352.407
55	1092051.84
56	1086205.102
57	1080804.505
58	1074362.88
59	1069139.682
60	1062999.358
61	1056325.825
62	1051431.15
63	1047284.905
64	1042239.422
65	1038793.794
66	1035172.769
67	1029905.518
68	1025486.85
69	1022420.148
70	1018283.412
71	1014872.286
72	1011829.451
73	1008879.614
74	1005699.756
75	1002774.056
76	1000310.635
77	997749.9052
78	994254.802
79	990602.8006
80	986717.4558
81	983691.9705
82	981626.624
83	978354.9925
84	975610.6757
85	973568.0843
86	970285.8782
87	967271.4027
88	965091.8127
89	962402.5352
90	959112.1367
91	957114.1249
92	954223.8796
93	951948.34
94	949232.8361
95	946795.1941
96	942492.2043
97	940466.1932
98	937903.8899
99	935492.6604
100	933449.3337
101	930884.3233
102	928758.5488
103	926436.2939
104	924942.2375
105	923301.0207
106	921029.9115
107	919034.7249
108	917780.9299
109	914930.7374
110	913360.9665
111	911907.9753
112	909631.0639
113	908073.2406
114	905801.0372
115	903740.0131
116	902105.5359
117	899664.1016
118	897593.3456
119	895484.5516
120	893618.6176
121	891961.4804
122	889889.7035
123	888759.2502
124	886911.017
125	885807.7559
126	883451.2575
127	881122.7213
128	879549.5517
129	877855.742
130	875535.7143
131	874540.978
132	872839.5328
133	870547.1492
134	868957.6143
135	867878.222
136	866625.6431
137	864886.2326
138	863096.5835
139	861111.5367
140	859730.4085
141	858407.9359
142	856536.4279
143	854454.6113
144	852949.6714
145	851022.2952
146	849247.9064
147	846664.9533
148	845219.9878
149	842596.8055
150	841480.4496
151	839704.9834
152	838336.9018
153	836806.3591
154	835746.5786
155	834784.794
156	833928.5504
157	831959.9569
158	830862.4355
159	829622.2922
160	827983.8315
161	826532.1483
162	824761.6683
163	822977.1613
164	821559.1313
165	820340.9772
166	818265.7191
167	816493.971
168	815192.5282
169	813916.8929
170	812318.2699
171	811080.8985
172	810348.4686
173	809206.6769
174	807348.334
175	806041.2021
176	804208.1484
177	802913.5012
178	801247.2754
179	800157.4854
180	798692.2838
181	796878.9884
182	795610.6483
183	794249.1354
184	792739.9947
185	791473.4857
186	789774.6313
187	788148.082
188	786389.8226
189	784796.345
190	783269.0474
191	781708.3676
192	779537.6448
193	778083.0945
194	776949.0963
195	775634.8697
196	774022.9432
197	772668.0688
198	771160.7081
199	769599.9242
200	768434.6493
201	767094.0278
202	765890.4364
203	764842.0858
204	763029.04
205	761817.8372
206	760308.2145
207	759226.0762
208	758245.518
209	756249.7352
210	754732.5386
211	753773.1002
212	752472.7107
213	750854.524
214	749195.3916
215	747757.0016
216	746749.9232
217	745476.564
218	744511.0361
219	742983.8431
220	741855.7039
221	740116.369
222	738427.4639
223	736872.6968
224	735473.9996
225	734500.7121
226	733239.0422
227	732004.984
228	730908.25
229	729562.0989
230	728283.1696
231	726795.039
232	725117.2162
233	723728.1268
234	722776.7096
235	721735.2495
236	720266.4349
237	718686.6182
238	717834.9759
239	716495.7716
240	715713.8647
241	714511.4958
242	713229.6789
243	712148.1098
244	710924.5095
245	709369.7239
246	708055.6653
247	707191.0112
248	706054.3811
249	704980.8527
250	703902.7107
251	702932.3277
252	701999.1007
253	700617.9744
254	699383.0276
255	698218.3506
256	697144.3631
257	696009.6807
258	694892.8433
259	693564.3932
260	692371.7835
261	691456.9049
262	690640.5967
263	689230.113
264	688155.0538
265	686871.4901
266	685356.3984
267	684066.0796
268	683205.7541
269	682600.0051
270	681460.1475
271	680068.9193
272	679084.7003
273	678227.4143
274	676779.7934
275	675846.4053
276	674763.7257
277	673985.6031
278	672589.4486
279	671964.818
280	671112.7283
281	670261.877
282	669502.5539
283	668594.7748
284	666890.1177
285	666103.4077
286	665457.8967
287	664201.8479
288	663026.978
289	662212.8193
290	661271.4253
291	660533.2349
292	659963.8806
293	659345.4017
294	658696.5881
295	657562.4716
296	657081.9367
297	656150.4853
298	655150.5274
299	654552.2501
300	653822.9825
301	653078.7956
302	652253.4251
303	651583.7141
304	650778.4005
305	650043.6473
306	649343.5846
307	648658.1357
308	647499.867
309	646692.3607
310	646043.7175
311	644873.9724
312	644450.7271
313	643687.0765
314	642646.2672
315	641514.2865
316	640623.7166
317	639694.9663
318	638900.5118
319	638235.6307
320	637360.1874
321	636797.3811
322	635975.7933
323	635237.8665
324	634561.6693
325	633701.6515
326	632770.7329
327	632192.1788
328	631309.2706
329	630525.2272
330	629976.1631
331	628982.2848
332	628155.4741
333	627120.9611
334	626273.0985
335	625612.2228
336	624742.2595
337	623819.2439
338	622914.06
339	622149.0572
340	621425.9748
341	620755.3266
342	619946.4139
343	619123.8946
344	618309.9409
345	617485.0588
346	616698.1298
347	615867.4011
348	615104.985
