iter	Passed	Remaining
0	4	4898
1	8	4376
2	13	4428
3	16	4226
4	20	4037
5	23	3892
6	26	3787
7	29	3707
8	34	3756
9	38	3771
10	42	3807
11	47	3896
12	51	3898
13	54	3868
14	57	3805
15	62	3836
16	66	3844
17	71	3919
18	77	4003
19	84	4136
20	90	4213
21	96	4299
22	103	4382
23	109	4435
24	114	4463
25	119	4492
26	126	4543
27	131	4555
28	138	4637
29	145	4700
30	151	4730
31	158	4792
32	164	4812
33	169	4826
34	174	4817
35	180	4845
36	186	4841
37	190	4830
38	196	4833
39	203	4895
40	209	4904
41	215	4920
42	220	4915
43	225	4898
44	231	4910
45	237	4928
46	243	4944
47	250	4974
48	255	4952
49	259	4931
50	263	4897
51	266	4855
52	269	4818
53	273	4782
54	277	4762
55	280	4727
56	284	4705
57	287	4666
58	290	4626
59	293	4596
60	297	4577
61	300	4544
62	304	4521
63	307	4499
64	311	4475
65	314	4445
66	317	4414
67	319	4382
68	323	4366
69	328	4362
70	332	4345
71	336	4331
72	340	4321
73	344	4310
74	349	4305
75	353	4293
76	358	4291
77	362	4286
78	367	4285
79	372	4284
80	377	4280
81	381	4268
82	385	4256
83	392	4280
84	396	4272
85	400	4258
86	404	4243
87	408	4235
88	412	4223
89	416	4209
90	420	4199
91	425	4195
92	430	4195
93	434	4184
94	437	4168
95	440	4151
96	444	4135
97	448	4123
98	451	4109
99	454	4093
100	459	4088
101	463	4080
102	466	4064
103	470	4050
104	472	4031
105	476	4022
106	480	4010
107	483	3995
108	487	3982
109	490	3970
110	494	3956
111	496	3939
112	499	3921
113	502	3908
114	506	3895
115	509	3884
116	512	3871
117	516	3858
118	519	3846
119	523	3841
120	527	3832
121	530	3818
122	533	3806
123	537	3795
124	540	3785
125	544	3779
126	549	3773
127	553	3768
128	556	3758
129	559	3746
130	564	3747
131	568	3736
132	572	3731
133	575	3718
134	578	3705
135	582	3698
136	586	3695
137	591	3695
138	597	3702
139	603	3706
140	607	3700
141	611	3693
142	615	3686
143	619	3683
144	623	3675
145	626	3666
146	631	3664
147	635	3659
148	638	3648
149	642	3639
150	645	3629
151	650	3626
152	654	3622
153	659	3624
154	665	3625
155	670	3629
156	675	3625
157	679	3622
158	684	3621
159	689	3619
160	693	3615
161	697	3610
162	701	3602
163	704	3592
164	708	3587
165	712	3580
166	717	3576
167	720	3570
168	724	3562
169	728	3555
170	731	3547
171	734	3537
172	738	3530
173	743	3527
174	747	3525
175	753	3526
176	757	3520
177	761	3514
178	764	3508
179	768	3502
180	773	3502
181	778	3499
182	783	3498
183	789	3499
184	793	3497
185	797	3490
186	803	3494
187	809	3495
188	814	3496
189	819	3492
190	824	3490
191	828	3487
192	835	3495
193	841	3496
194	846	3495
195	851	3492
196	856	3490
197	863	3497
198	868	3495
199	873	3492
200	877	3488
201	881	3480
202	884	3473
203	888	3465
204	891	3458
205	895	3451
206	899	3444
207	902	3437
208	907	3432
209	910	3424
210	913	3415
211	916	3407
212	919	3398
213	923	3392
214	927	3386
215	933	3387
216	938	3387
217	943	3384
218	947	3379
219	951	3372
220	955	3367
221	959	3362
222	962	3355
223	966	3349
224	971	3346
225	975	3340
226	985	3354
227	989	3349
228	992	3343
229	996	3337
230	1002	3336
231	1006	3333
232	1011	3331
233	1016	3327
234	1020	3322
235	1024	3317
236	1030	3319
237	1035	3316
238	1041	3315
239	1045	3311
240	1049	3306
241	1053	3301
242	1058	3296
243	1062	3292
244	1067	3288
245	1071	3285
246	1076	3280
247	1080	3276
248	1084	3270
249	1089	3267
250	1094	3266
251	1098	3262
252	1103	3257
253	1107	3253
254	1111	3247
255	1115	3242
256	1120	3238
257	1124	3233
258	1128	3227
259	1132	3223
260	1136	3218
261	1140	3212
262	1143	3204
263	1147	3198
264	1151	3193
265	1156	3191
266	1160	3186
267	1164	3181
268	1168	3176
269	1172	3171
270	1176	3165
271	1180	3158
272	1183	3152
273	1188	3148
274	1192	3144
275	1197	3142
276	1202	3138
277	1206	3133
278	1210	3126
279	1215	3124
280	1219	3119
281	1224	3117
282	1229	3114
283	1234	3111
